ASVid,Genus,Species
ASV_97,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_98,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_99,Nitrosospira,Nitrosospira-sp_2636913388
ASV_100,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_101,Nitrosospira,Nitrosospira-sp_2636913388
ASV_102,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_103,Nitrosospira,Nitrosospira-sp_2636913388
ASV_104,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_105,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_106,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_107,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_108,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_109,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_110,Nitrosospira,Nitrosospira-sp_2636913388
ASV_111,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_112,Nitrosomonas,Nitrosomonas-europaea-ATCC-19718_637427314
ASV_113,Nitrosospira,Nitrosospira-sp_2630434854
ASV_114,Nitrosospira,Nitrosospira-sp_2636913388
ASV_115,Nitrosospira,Nitrosospira-sp_2636913388
ASV_116,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_117,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_118,Nitrosospira,Nitrosospira-sp_2630434854
ASV_119,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_120,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_121,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_122,Nitrosospira,Nitrosospira-sp_2636913388
ASV_123,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_124,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_125,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_126,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_127,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_128,Nitrosospira,Nitrosospira-sp_2636913388
ASV_129,Nitrosospira,Nitrosospira-sp_2636913388
ASV_130,Nitrosospira,Nitrosospira-sp_2636913388
ASV_131,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_132,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_133,Nitrosospira,Nitrosospira-sp_2636913388
ASV_134,Nitrosospira,Nitrosospira-sp_2636913388
ASV_135,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_136,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_137,Nitrosospira,Nitrosospira-sp_2636913388
ASV_138,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_139,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_140,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_141,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_142,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_143,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_144,Nitrosospira,Nitrosospira-sp_2636913388
ASV_145,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_146,Nitrosospira,Nitrosospira-sp_2636913388
ASV_147,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_148,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_149,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_150,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_151,Nitrosospira,Nitrosospira-sp_2636913388
ASV_152,Nitrosospira,Nitrosospira-sp_2630434854
ASV_153,Nitrosospira,Nitrosospira-sp_2636913388
ASV_154,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_155,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_156,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_157,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_158,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_159,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_160,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_161,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_162,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_163,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_164,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_165,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_166,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_167,Nitrosospira,Nitrosospira-sp_2636913388
ASV_168,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_169,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_170,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_171,Nitrosospira,Nitrosospira-sp_2636913388
ASV_172,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_173,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_174,Nitrosospira,Nitrosospira-sp_2636913388
ASV_175,Nitrosovibrio,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_176,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_177,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_178,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_179,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_180,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_181,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_182,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_183,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_184,Nitrosospira,Nitrosospira-sp_2636913388
ASV_185,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_186,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_187,Nitrosospira,Nitrosospira-sp_2630434854
ASV_188,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_189,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_190,Nitrosospira,Nitrosospira-sp_2636913388
ASV_191,Nitrosospira,Nitrosospira-sp_2636913388
ASV_192,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_193,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_194,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_195,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_196,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_197,Nitrosomonas,Nitrosomonas-communis-Nm44_2676397764
ASV_198,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_199,Nitrosospira,Nitrosospira-sp_2636913388
ASV_200,Nitrosospira,Nitrosospira-sp_2636913388
ASV_201,Nitrosospira,Nitrosospira-sp_2636913388
ASV_202,Nitrosospira,Nitrosospira-sp_2636913388
ASV_203,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_205,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_206,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_207,Nitrosospira,Nitrosospira-sp_2636913388
ASV_208,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_209,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_210,Nitrosospira,Nitrosospira-sp_2636913388
ASV_211,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_212,Nitrosospira,Nitrosospira-sp_2630434854
ASV_213,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_214,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_215,Nitrosospira,Nitrosospira-sp_2636913388
ASV_216,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_217,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_218,Nitrosospira,Nitrosospira-sp_2636913388
ASV_219,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_220,Nitrosospira,Nitrosospira-sp_2636913388
ASV_221,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_222,Nitrosospira,Nitrosospira-sp_2636913388
ASV_223,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_224,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_225,Nitrosospira,Nitrosospira-sp_2636913388
ASV_226,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_227,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_228,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_229,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_230,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_231,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_232,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_233,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_234,Nitrosolobus,Nitrosolobus-sp-Nl14_2671461169
ASV_235,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_236,Nitrosospira,Nitrosospira-sp_2636913388
ASV_237,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_238,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_239,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_240,Nitrosovibrio,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_241,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_242,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_243,Nitrosospira,Nitrosospira-sp_2630434854
ASV_244,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_245,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_246,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_247,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_248,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_249,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_250,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_251,Nitrosospira,Nitrosospira-sp_2636913388
ASV_252,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_253,Nitrosospira,Nitrosospira-sp_2636913388
ASV_254,Nitrosospira,Nitrosospira-sp_2636913388
ASV_255,Nitrosospira,Nitrosospira-sp_2636913388
ASV_256,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_257,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_258,Nitrosospira,Nitrosospira-sp_2630434854
ASV_259,Nitrosospira,Nitrosospira-sp_2636913388
ASV_260,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_261,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_262,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_263,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_264,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_265,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_266,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_267,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_268,Nitrosospira,Nitrosospira-sp_2636913388
ASV_269,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_270,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_271,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_272,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_273,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_274,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_275,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_276,Nitrosospira,Nitrosospira-sp_2636913388
ASV_277,Nitrosospira,Nitrosospira-sp_2636913388
ASV_278,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_279,Nitrosospira,Nitrosospira-sp_2636913388
ASV_280,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_281,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_282,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_283,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_284,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_285,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_286,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_287,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_288,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_289,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_290,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_291,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_292,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_293,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_294,Nitrosospira,Nitrosospira-sp_2636913388
ASV_295,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_297,Nitrosospira,Nitrosospira-sp_2636913388
ASV_298,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_299,Nitrosospira,Nitrosospira-sp_2636913388
ASV_300,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_301,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_302,Nitrosospira,Nitrosospira-sp_2636913388
ASV_303,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_304,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_305,Nitrosospira,Nitrosospira-sp_2630434854
ASV_306,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_307,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_308,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_309,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_310,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_311,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_312,Nitrosospira,Nitrosospira-sp_2636913388
ASV_313,Nitrosospira,Nitrosospira-sp_2636913388
ASV_314,Nitrosospira,Nitrosospira-sp_2636913388
ASV_315,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_316,Nitrosospira,Nitrosospira-sp_2630434854
ASV_317,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_318,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_319,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_320,Nitrosospira,Nitrosospira-sp_2636913388
ASV_321,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_322,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_323,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_324,Nitrosospira,Nitrosospira-sp_2636913388
ASV_325,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_326,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_327,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_328,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_329,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_330,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_331,Nitrosospira,Nitrosospira-sp_2636913388
ASV_332,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_333,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_334,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_335,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_336,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_337,Nitrosospira,Nitrosospira-sp_2630434854
ASV_338,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_339,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_340,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_341,Nitrosospira,Nitrosospira-sp_2636913388
ASV_342,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_343,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_344,Nitrosovibrio,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_345,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_346,Nitrosospira,Nitrosospira-sp_2636913388
ASV_347,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_348,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_349,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_350,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_351,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_352,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_353,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_354,Nitrosospira,Nitrosospira-sp_2636913388
ASV_355,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_356,Nitrosospira,Nitrosospira-sp_2630434854
ASV_357,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_358,Nitrosospira,Nitrosospira-briensis-C-128_2588205525
ASV_359,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_360,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_361,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_362,Nitrosomonas,Nitrosomonas-oligotropha-Nm75_2671668620
ASV_363,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_364,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_365,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_366,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_367,Nitrosospira,Nitrosospira-sp_2636913388
ASV_368,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_369,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_370,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_371,Nitrosospira,Nitrosospira-sp_2636913388
ASV_372,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_373,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_374,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_375,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_376,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_377,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_378,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_379,Nitrosospira,Nitrosospira-sp_2636913388
ASV_380,Nitrosospira,Nitrosospira-sp_2636913388
ASV_381,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_382,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_383,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_384,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_385,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_386,Nitrosospira,Nitrosospira-sp_2636913388
ASV_387,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_388,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_389,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_390,Nitrosospira,Nitrosospira-sp_2636913388
ASV_391,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_392,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_393,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_394,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_395,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_396,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
