ASVid,taxonomy
ASV_185,Nitrosolobus-multiformis-Nl1_2667636517
ASV_186,Nitrosolobus-multiformis-Nl1_2667636517
ASV_187,Nitrosospira-sp_2630434854
ASV_188,Nitrosospira-sp-17Nsp14_2671457573
ASV_189,Nitrosospira-sp-17Nsp14_2671457573
ASV_190,Nitrosospira-sp_2636913388
ASV_191,Nitrosospira-sp_2636913388
ASV_192,Nitrosolobus-multiformis-Nl1_2667636517
ASV_193,Nitrosospira-sp-17Nsp14_2671457573
ASV_194,Nitrosospira-sp-17Nsp14_2671457573
ASV_195,Nitrosolobus-sp-Nl14_2671461169
ASV_196,Nitrosolobus-multiformis-Nl1_2667636517
ASV_197,Nitrosomonas-communis-Nm44_2676397764
ASV_198,Nitrosolobus-multiformis-Nl1_2667636517
ASV_199,Nitrosospira-sp_2636913388
ASV_200,Nitrosospira-sp_2636913388
ASV_201,Nitrosospira-sp_2636913388
ASV_202,Nitrosospira-sp_2636913388
ASV_203,Nitrosospira-sp-17Nsp14_2671457573
ASV_205,Nitrosospira-sp-17Nsp14_2671457573
ASV_206,Nitrosolobus-multiformis-Nl1_2667636517
ASV_207,Nitrosospira-sp_2636913388
ASV_208,Nitrosospira-sp-17Nsp14_2671457573
ASV_209,Nitrosospira-sp-17Nsp14_2671457573
ASV_210,Nitrosospira-sp_2636913388
ASV_211,Nitrosolobus-multiformis-Nl1_2667636517
ASV_212,Nitrosospira-sp_2630434854
ASV_213,Nitrosospira-sp-17Nsp14_2671457573
ASV_214,Nitrosospira-sp-17Nsp14_2671457573
ASV_215,Nitrosospira-sp_2636913388
ASV_216,Nitrosospira-sp-17Nsp14_2671457573
ASV_217,Nitrosolobus-multiformis-Nl1_2667636517
ASV_218,Nitrosospira-sp_2636913388
ASV_219,Nitrosospira-sp-17Nsp14_2671457573
ASV_220,Nitrosospira-sp_2636913388
ASV_221,Nitrosospira-sp-17Nsp14_2671457573
ASV_222,Nitrosospira-sp_2636913388
ASV_223,Nitrosospira-sp-17Nsp14_2671457573
ASV_224,Nitrosolobus-multiformis-Nl1_2667636517
ASV_225,Nitrosospira-sp_2636913388
ASV_226,Nitrosospira-sp-17Nsp14_2671457573
ASV_227,Nitrosospira-sp-17Nsp14_2671457573
ASV_228,Nitrosospira-sp-17Nsp14_2671457573
ASV_229,Nitrosospira-sp-17Nsp14_2671457573
ASV_230,Nitrosospira-sp-17Nsp14_2671457573
ASV_231,Nitrosospira-sp-17Nsp14_2671457573
ASV_232,Nitrosolobus-multiformis-Nl1_2667636517
ASV_233,Nitrosospira-sp-17Nsp14_2671457573
ASV_234,Nitrosolobus-sp-Nl14_2671461169
ASV_235,Nitrosospira-sp-17Nsp14_2671457573
ASV_236,Nitrosospira-sp_2636913388
ASV_237,Nitrosospira-sp-17Nsp14_2671457573
ASV_238,Nitrosospira-sp-17Nsp14_2671457573
ASV_239,Nitrosospira-sp-17Nsp14_2671457573
ASV_240,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_241,Nitrosolobus-multiformis-Nl1_2667636517
ASV_242,Nitrosospira-sp-17Nsp14_2671457573
ASV_243,Nitrosospira-sp_2630434854
ASV_244,Nitrosolobus-multiformis-Nl1_2667636517
ASV_245,Nitrosospira-sp-17Nsp14_2671457573
ASV_246,Nitrosospira-sp-17Nsp14_2671457573
ASV_247,Nitrosolobus-multiformis-Nl1_2667636517
ASV_248,Nitrosolobus-multiformis-Nl1_2667636517
ASV_249,Nitrosospira-sp-17Nsp14_2671457573
ASV_250,Nitrosolobus-multiformis-Nl1_2667636517
ASV_251,Nitrosospira-sp_2636913388
ASV_252,Nitrosospira-sp-17Nsp14_2671457573
ASV_253,Nitrosospira-sp_2636913388
ASV_254,Nitrosospira-sp_2636913388
ASV_255,Nitrosospira-sp_2636913388
ASV_256,Nitrosolobus-multiformis-Nl1_2667636517
ASV_257,Nitrosospira-sp-17Nsp14_2671457573
ASV_258,Nitrosospira-sp_2630434854
ASV_259,Nitrosospira-sp_2636913388
ASV_260,Nitrosolobus-multiformis-Nl1_2667636517
ASV_261,Nitrosolobus-multiformis-Nl1_2667636517
ASV_262,Nitrosospira-sp-17Nsp14_2671457573
ASV_263,Nitrosolobus-multiformis-Nl1_2667636517
ASV_264,Nitrosospira-sp-17Nsp14_2671457573
ASV_265,Nitrosospira-sp-17Nsp14_2671457573
ASV_266,Nitrosolobus-multiformis-Nl1_2667636517
ASV_267,Nitrosospira-sp-17Nsp14_2671457573
ASV_268,Nitrosospira-sp_2636913388
ASV_269,Nitrosospira-sp-17Nsp14_2671457573
ASV_270,Nitrosospira-sp-17Nsp14_2671457573
ASV_271,Nitrosospira-sp-17Nsp14_2671457573
ASV_272,Nitrosospira-sp-17Nsp14_2671457573
ASV_273,Nitrosospira-sp-17Nsp14_2671457573
ASV_274,Nitrosolobus-multiformis-Nl1_2667636517
ASV_275,Nitrosolobus-multiformis-Nl1_2667636517
ASV_276,Nitrosospira-sp_2636913388
ASV_277,Nitrosospira-sp_2636913388
ASV_278,Nitrosospira-sp-17Nsp14_2671457573
ASV_279,Nitrosospira-sp_2636913388
ASV_280,Nitrosospira-sp-17Nsp14_2671457573
ASV_281,Nitrosolobus-multiformis-Nl1_2667636517
ASV_282,Nitrosospira-sp-17Nsp14_2671457573
ASV_283,Nitrosolobus-multiformis-Nl1_2667636517
ASV_284,Nitrosospira-sp-17Nsp14_2671457573
ASV_285,Nitrosospira-sp-17Nsp14_2671457573
ASV_286,Nitrosospira-sp-17Nsp14_2671457573
ASV_287,Nitrosolobus-multiformis-Nl1_2667636517
ASV_288,Nitrosospira-sp-17Nsp14_2671457573
ASV_289,Nitrosospira-sp-17Nsp14_2671457573
ASV_290,Nitrosospira-sp-17Nsp14_2671457573
ASV_291,Nitrosospira-sp-17Nsp14_2671457573
ASV_292,Nitrosospira-sp-17Nsp14_2671457573
ASV_293,Nitrosospira-sp-17Nsp14_2671457573
ASV_294,Nitrosospira-sp_2636913388
ASV_295,Nitrosolobus-multiformis-Nl1_2667636517
ASV_297,Nitrosospira-sp_2636913388
ASV_298,Nitrosospira-sp-17Nsp14_2671457573
ASV_299,Nitrosospira-sp_2636913388
ASV_300,Nitrosospira-sp-17Nsp14_2671457573
ASV_301,Nitrosospira-sp-17Nsp14_2671457573
ASV_302,Nitrosospira-sp_2636913388
ASV_303,Nitrosolobus-multiformis-Nl1_2667636517
ASV_304,Nitrosospira-sp-17Nsp14_2671457573
ASV_305,Nitrosospira-sp_2630434854
ASV_306,Nitrosolobus-multiformis-Nl1_2667636517
ASV_307,Nitrosospira-sp-17Nsp14_2671457573
ASV_308,Nitrosolobus-multiformis-Nl1_2667636517
ASV_309,Nitrosolobus-multiformis-Nl1_2667636517
ASV_310,Nitrosospira-sp-17Nsp14_2671457573
ASV_311,Nitrosospira-sp-17Nsp14_2671457573
ASV_312,Nitrosospira-sp_2636913388
ASV_313,Nitrosospira-sp_2636913388
ASV_314,Nitrosospira-sp_2636913388
ASV_315,Nitrosospira-sp-17Nsp14_2671457573
ASV_316,Nitrosospira-sp_2630434854
ASV_317,Nitrosospira-sp-17Nsp14_2671457573
ASV_318,Nitrosolobus-multiformis-Nl1_2667636517
ASV_319,Nitrosolobus-multiformis-Nl1_2667636517
ASV_320,Nitrosospira-sp_2636913388
ASV_321,Nitrosospira-sp-17Nsp14_2671457573
ASV_322,Nitrosospira-sp-17Nsp14_2671457573
ASV_323,Nitrosolobus-multiformis-Nl1_2667636517
ASV_324,Nitrosospira-sp_2636913388
ASV_325,Nitrosospira-sp-17Nsp14_2671457573
ASV_326,Nitrosospira-sp-17Nsp14_2671457573
ASV_327,Nitrosolobus-multiformis-Nl1_2667636517
ASV_328,Nitrosolobus-multiformis-Nl1_2667636517
ASV_329,Nitrosolobus-multiformis-Nl1_2667636517
ASV_330,Nitrosospira-sp-17Nsp14_2671457573
ASV_331,Nitrosospira-sp_2636913388
ASV_332,Nitrosolobus-multiformis-Nl1_2667636517
ASV_333,Nitrosolobus-multiformis-Nl1_2667636517
ASV_334,Nitrosospira-sp-17Nsp14_2671457573
ASV_335,Nitrosolobus-multiformis-Nl1_2667636517
ASV_336,Nitrosospira-sp-17Nsp14_2671457573
ASV_337,Nitrosospira-sp_2630434854
ASV_338,Nitrosospira-sp-17Nsp14_2671457573
ASV_339,Nitrosospira-sp-17Nsp14_2671457573
ASV_340,Nitrosolobus-multiformis-Nl1_2667636517
ASV_341,Nitrosospira-sp_2636913388
ASV_342,Nitrosolobus-multiformis-Nl1_2667636517
ASV_343,Nitrosospira-sp-17Nsp14_2671457573
ASV_344,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_345,Nitrosolobus-multiformis-Nl1_2667636517
ASV_346,Nitrosospira-sp_2636913388
ASV_347,Nitrosolobus-multiformis-Nl1_2667636517
ASV_348,Nitrosolobus-multiformis-Nl1_2667636517
ASV_349,Nitrosolobus-multiformis-Nl1_2667636517
ASV_350,Nitrosolobus-multiformis-Nl1_2667636517
ASV_351,Nitrosospira-sp-17Nsp14_2671457573
ASV_352,Nitrosospira-sp-17Nsp14_2671457573
ASV_353,Nitrosospira-sp-17Nsp14_2671457573
ASV_354,Nitrosospira-sp_2636913388
ASV_355,Nitrosospira-sp-17Nsp14_2671457573
ASV_356,Nitrosospira-sp_2630434854
ASV_357,Nitrosospira-sp-17Nsp14_2671457573
ASV_358,Nitrosospira-briensis-C-128_2588205525
ASV_359,Nitrosospira-sp-17Nsp14_2671457573
ASV_360,Nitrosolobus-multiformis-Nl1_2667636517
ASV_361,Nitrosospira-sp-17Nsp14_2671457573
ASV_362,Nitrosomonas-oligotropha-Nm75_2671668620
ASV_363,Nitrosospira-sp-17Nsp14_2671457573
ASV_364,Nitrosolobus-multiformis-Nl1_2667636517
ASV_365,Nitrosolobus-multiformis-Nl1_2667636517
ASV_366,Nitrosolobus-multiformis-Nl1_2667636517
ASV_367,Nitrosospira-sp_2636913388
ASV_368,Nitrosolobus-multiformis-Nl1_2667636517
ASV_369,Nitrosolobus-multiformis-Nl1_2667636517
ASV_370,Nitrosospira-sp-17Nsp14_2671457573
ASV_371,Nitrosospira-sp_2636913388
ASV_372,Nitrosospira-sp-17Nsp14_2671457573
ASV_373,Nitrosolobus-multiformis-Nl1_2667636517
ASV_374,Nitrosospira-sp-17Nsp14_2671457573
ASV_375,Nitrosospira-sp-17Nsp14_2671457573
ASV_376,Nitrosospira-sp-17Nsp14_2671457573
ASV_377,Nitrosospira-sp-17Nsp14_2671457573
ASV_378,Nitrosospira-sp-17Nsp14_2671457573
ASV_379,Nitrosospira-sp_2636913388
ASV_380,Nitrosospira-sp_2636913388
ASV_381,Nitrosospira-sp-17Nsp14_2671457573
ASV_382,Nitrosospira-sp-17Nsp14_2671457573
ASV_383,Nitrosospira-sp-17Nsp14_2671457573
ASV_384,Nitrosospira-sp-17Nsp14_2671457573
ASV_385,Nitrosolobus-multiformis-Nl1_2667636517
ASV_386,Nitrosospira-sp_2636913388
ASV_387,Nitrosolobus-multiformis-Nl1_2667636517
ASV_388,Nitrosolobus-multiformis-Nl1_2667636517
ASV_389,Nitrosospira-sp-17Nsp14_2671457573
ASV_390,Nitrosospira-sp_2636913388
ASV_391,Nitrosospira-sp-17Nsp14_2671457573
ASV_392,Nitrosospira-sp-17Nsp14_2671457573
ASV_393,Nitrosolobus-multiformis-Nl1_2667636517
ASV_394,Nitrosospira-sp-17Nsp14_2671457573
ASV_395,Nitrosolobus-multiformis-Nl1_2667636517
ASV_396,Nitrosospira-sp-17Nsp14_2671457573
ASV_397,Nitrosospira-sp_2630434854
ASV_398,Nitrosospira-sp-17Nsp14_2671457573
ASV_399,Nitrosospira-sp_2636913388
ASV_400,Nitrosospira-sp-17Nsp14_2671457573
ASV_401,Nitrosospira-sp-17Nsp14_2671457573
ASV_402,Nitrosospira-sp_2636913388
ASV_403,Nitrosolobus-multiformis-Nl1_2667636517
ASV_404,Nitrosolobus-multiformis-Nl7_2671428569
ASV_405,Nitrosospira-sp_2636913388
ASV_406,Nitrosolobus-multiformis-Nl1_2667636517
ASV_407,Nitrosolobus-multiformis-Nl1_2667636517
ASV_408,Nitrosolobus-multiformis-Nl1_2667636517
ASV_409,Nitrosospira-sp-17Nsp14_2671457573
ASV_410,Nitrosospira-sp-17Nsp14_2671457573
ASV_411,Nitrosospira-sp-17Nsp14_2671457573
ASV_412,Nitrosolobus-multiformis-Nl1_2667636517
ASV_413,Nitrosospira-sp-17Nsp14_2671457573
ASV_414,Nitrosospira-sp-17Nsp14_2671457573
ASV_415,Nitrosospira-sp-17Nsp14_2671457573
ASV_417,Nitrosolobus-multiformis-Nl1_2667636517
ASV_418,Nitrosospira-sp-17Nsp14_2671457573
ASV_419,Nitrosospira-sp-17Nsp14_2671457573
ASV_420,Nitrosospira-sp_2636913388
ASV_421,Nitrosospira-sp_2636913388
ASV_422,Nitrosolobus-multiformis-Nl1_2667636517
ASV_423,Nitrosospira-sp-17Nsp14_2671457573
ASV_424,Nitrosospira-sp_2636913388
ASV_425,Nitrosospira-sp-17Nsp14_2671457573
ASV_426,Nitrosospira-sp_2636913388
ASV_427,Nitrosolobus-multiformis-Nl1_2667636517
ASV_428,Nitrosospira-sp_2630434854
ASV_429,Nitrosolobus-multiformis-Nl1_2667636517
ASV_430,Nitrosospira-briensis-C-128_2588205525
ASV_431,Nitrosolobus-multiformis-Nl1_2667636517
ASV_432,Nitrosospira-sp-17Nsp14_2671457573
ASV_433,Nitrosolobus-multiformis-Nl1_2667636517
ASV_434,Nitrosolobus-multiformis-Nl1_2667636517
ASV_435,Nitrosolobus-multiformis-Nl1_2667636517
ASV_436,Nitrosolobus-multiformis-Nl1_2667636517
ASV_437,Nitrosospira-sp-17Nsp14_2671457573
ASV_438,Nitrosospira-sp-Nsp22_2737533475
ASV_439,Nitrosolobus-multiformis-Nl1_2667636517
ASV_440,Nitrosospira-sp-17Nsp14_2671457573
ASV_441,Nitrosolobus-multiformis-Nl1_2667636517
ASV_442,Nitrosospira-sp-17Nsp14_2671457573
ASV_443,Nitrosolobus-multiformis-Nl1_2667636517
ASV_444,Nitrosospira-briensis-C-128_2588205525
ASV_445,Nitrosolobus-multiformis-Nl1_2667636517
ASV_446,Nitrosolobus-multiformis-Nl1_2667636517
ASV_447,Nitrosospira-sp-17Nsp14_2671457573
ASV_448,Nitrosomonas-sp-Is79A3_651001907
ASV_449,Nitrosospira-sp-17Nsp14_2671457573
ASV_450,Nitrosospira-sp_2636913388
ASV_451,Nitrosospira-sp-17Nsp14_2671457573
ASV_452,Nitrosospira-sp-17Nsp14_2671457573
ASV_453,Nitrosospira-sp_2636913388
ASV_454,Nitrosospira-sp_2636913388
ASV_455,Nitrosospira-sp-17Nsp14_2671457573
ASV_456,Nitrosolobus-multiformis-Nl1_2667636517
ASV_457,Nitrosolobus-multiformis-Nl1_2667636517
ASV_458,Nitrosospira-sp-17Nsp14_2671457573
ASV_459,Nitrosolobus-multiformis-Nl1_2667636517
ASV_460,Nitrosospira-sp_2636913388
ASV_461,Nitrosolobus-multiformis-Nl1_2667636517
ASV_462,Nitrosomonas-communis-Nm44_2676397764
ASV_463,Nitrosolobus-multiformis-Nl1_2667636517
ASV_464,Nitrosospira-sp-Nsp22_2737533475
ASV_465,Nitrosospira-sp-17Nsp14_2671457573
ASV_466,Nitrosospira-sp-17Nsp14_2671457573
ASV_467,Nitrosospira-sp_2636913388
ASV_468,Nitrosolobus-multiformis-Nl1_2667636517
ASV_469,Nitrosospira-sp-17Nsp14_2671457573
ASV_470,Nitrosomonas-sp-Nm84_2737537902
ASV_471,Nitrosolobus-multiformis-Nl1_2667636517
ASV_472,Nitrosospira-sp_2636913388
ASV_473,Nitrosolobus-multiformis-Nl1_2667636517
ASV_474,Nitrosospira-sp-17Nsp14_2671457573
ASV_476,Nitrosospira-sp_2636913388
ASV_477,Nitrosolobus-multiformis-Nl1_2667636517
ASV_478,Nitrosolobus-multiformis-Nl1_2667636517
ASV_479,Nitrosolobus-multiformis-Nl1_2667636517
ASV_480,Nitrosolobus-multiformis-Nl1_2667636517
ASV_481,Nitrosolobus-multiformis-Nl1_2667636517
ASV_482,Nitrosolobus-multiformis-Nl1_2667636517
ASV_483,Nitrosolobus-multiformis-Nl1_2667636517
ASV_484,Nitrosospira-briensis-C-128_2588205525
ASV_485,Nitrosospira-briensis-C-128_2588205525
ASV_486,Nitrosospira-sp-17Nsp14_2671457573
ASV_487,Nitrosolobus-multiformis-Nl1_2667636517
ASV_488,Nitrosospira-sp_2636913388
ASV_489,Nitrosospira-sp-17Nsp14_2671457573
ASV_490,Nitrosolobus-multiformis-Nl1_2667636517
ASV_491,Nitrosospira-sp-17Nsp14_2671457573
ASV_492,Nitrosospira-sp_2636913388
ASV_493,Nitrosospira-sp_2636913388
ASV_494,Nitrosolobus-multiformis-Nl1_2667636517
ASV_495,Nitrosolobus-multiformis-Nl1_2667636517
ASV_496,Nitrosospira-sp-17Nsp14_2671457573
ASV_497,Nitrosospira-sp_2636913388
ASV_498,Nitrosospira-sp-17Nsp14_2671457573
ASV_499,Nitrosolobus-multiformis-Nl1_2667636517
ASV_500,Nitrosospira-sp_2636913388
ASV_501,Nitrosospira-sp-17Nsp14_2671457573
ASV_502,Nitrosospira-briensis-C-128_2588205525
ASV_503,Nitrosolobus-multiformis-Nl1_2667636517
ASV_504,Nitrosospira-briensis-C-128_2588205525
ASV_505,Nitrosospira-sp_2636913388
ASV_506,Nitrosospira-sp-17Nsp14_2671457573
ASV_507,Nitrosospira-sp_2636913388
ASV_508,Nitrosolobus-multiformis-Nl1_2667636517
ASV_509,Nitrosospira-sp_2636913388
ASV_510,Nitrosolobus-multiformis-Nl1_2667636517
ASV_511,Nitrosospira-sp-17Nsp14_2671457573
ASV_512,Nitrosospira-sp_2636913388
ASV_514,Nitrosolobus-multiformis-Nl1_2667636517
ASV_515,Nitrosolobus-multiformis-Nl1_2667636517
ASV_516,Nitrosolobus-multiformis-Nl1_2667636517
